"","Day1","Day2","Day3","Day4","Day5","Senior","Class_Prefect","Athlete","popularity","Pass"
"2","0","0","0","1","0","0","0","0","0.267558528","1"
"3","0","0","0","0","0","0","0","0","0.003344482","1"
"4","0","0","0","0","0","0","0","0","0.003344482","1"
"5","1","0","0","1","0","0","0","0","0.02006689","1"
"6","1","0","0","0","0","0","0","0","0","1"
"7","0","0","0","1","0","0","0","0","0.02006689","1"
"8","0","0","0","0","0","0","0","0","0","1"
"9","0","0","0","1","0","0","0","0","0.023411371","1"
"10","0","0","0","0","1","1","0","0","0.040133779","1"
"11","0","0","0","1","0","0","0","0","0.006688963","1"
"12","0","0","0","0","1","0","0","0","0.013377926","1"
"13","0","1","1","1","1","0","0","0","0.113712375","1"
"14","0","0","0","0","0","0","0","0","0.010033445","1"
"15","0","0","1","1","0","0","0","0","0.127090301","1"
"16","0","1","0","0","0","0","0","0","0.006688963","1"
"17","0","0","0","1","0","0","0","0","0.003344482","1"
"18","0","0","1","1","0","0","0","0","0.123745819","1"
"19","0","0","0","0","0","0","0","0","0.023411371","1"
"20","0","1","1","1","0","0","0","0","0.120401338","1"
"21","0","1","1","1","0","0","0","0","0.147157191","1"
"22","0","0","0","1","0","0","0","0","0.026755853","1"
"23","0","0","0","1","0","0","0","0","0","1"
"24","0","0","1","1","0","0","0","0","0.043478261","1"
"25","0","0","0","1","1","0","0","0","0.030100334","1"
"26","0","0","0","1","0","0","0","0","0.030100334","1"
"27","0","0","0","0","1","0","0","0","0","1"
"28","0","0","0","0","0","0","0","0","0","1"
"29","0","0","0","0","0","0","0","0","0.046822742","1"
"30","0","0","1","1","0","0","0","0","0.013377926","1"
"31","0","1","1","0","0","0","0","0","0.023411371","1"
"32","0","1","0","0","0","0","0","0","0.006688963","1"
"33","0","0","0","0","0","0","1","1","1","1"
"34","0","0","0","1","0","0","0","0","0.02006689","1"
"35","0","1","0","0","0","0","0","0","0.033444816","1"
"36","0","0","0","1","0","0","0","0","0.013377926","1"
"37","0","1","1","0","0","0","0","0","0.006688963","1"
"38","0","0","0","1","0","0","0","0","0.006688963","1"
"39","0","1","0","0","0","0","0","0","0.013377926","1"
"40","0","0","1","1","1","0","0","0","0.026755853","1"
"41","0","0","1","0","0","0","0","0","0","1"
"42","0","0","1","0","0","0","0","0","0.003344482","1"
"43","1","0","0","0","0","0","0","0","0.006688963","1"
"44","0","0","0","1","0","0","0","0","0.016722408","1"
"45","0","0","0","0","0","0","0","0","0.040133779","1"
"46","0","0","0","1","0","0","0","0","0.010033445","1"
"47","0","0","0","1","0","0","0","0","0.046822742","1"
"48","0","0","1","0","0","0","0","0","0","1"
"49","0","0","1","1","0","0","0","0","0.123745819","1"
"50","0","0","0","1","0","0","0","0","0.003344482","1"
"51","1","0","0","0","0","0","0","0","0.010033445","1"
