YYYYMM,Value,Description
197301,72.076,Karnataka
197302,64.442,Karnataka
197303,64.084,Karnataka
197304,60.842,Karnataka
197305,61.798,Karnataka
197306,66.538,Karnataka
197307,72.626,Karnataka
197308,75.181,Karnataka
197309,68.397,Karnataka
197310,67.668,Karnataka
197311,67.021,Karnataka
197312,71.118,Karnataka
197313,811.791,Karnataka
197401,70.55,Karnataka
197402,62.929,Karnataka
197403,64.519,Karnataka
197404,60.544,Karnataka
197405,64.687,Karnataka
197406,64.736,Karnataka
197407,73.698,Karnataka
197408,72.559,Karnataka
197409,63.221,Karnataka
197410,65.418,Karnataka
197411,65.593,Karnataka
197412,71.677,Karnataka
197413,800.131,Karnataka
197501,72.708,Karnataka
197502,65.117,Karnataka
197503,66.532,Karnataka
197504,61.975,Karnataka
197505,62.031,Karnataka
197506,67.875,Karnataka
197507,74.184,Karnataka
197508,77.029,Karnataka
197509,66.156,Karnataka
197510,66.651,Karnataka
197511,67.625,Karnataka
197512,75.857,Karnataka
197513,823.74,Karnataka
197601,81.264,Karnataka
197602,71.058,Karnataka
197603,73.361,Karnataka
197604,68.703,Karnataka
197605,68.985,Karnataka
197606,73.936,Karnataka
197607,80.968,Karnataka
197608,81.962,Karnataka
197609,72.95,Karnataka
197610,74.746,Karnataka
197611,78.924,Karnataka
197612,84.49,Karnataka
197613,911.346,Karnataka
197701,87.215,Karnataka
197702,75.943,Karnataka
197703,75.092,Karnataka
197704,68.641,Karnataka
197705,74.916,Karnataka
197706,80.942,Karnataka
197707,90.667,Karnataka
197708,89.046,Karnataka
197709,80.975,Karnataka
197710,77.369,Karnataka
197711,78.058,Karnataka
197712,83.279,Karnataka
197713,962.143,Karnataka
197801,85.191,Karnataka
197802,71.476,Karnataka
197803,67.829,Karnataka
197804,69.051,Karnataka
197805,74.201,Karnataka
197806,81.372,Karnataka
197807,88.003,Karnataka
197808,91.836,Karnataka
197809,85.066,Karnataka
197810,79.494,Karnataka
197811,79.291,Karnataka
197812,87.107,Karnataka
197813,959.916,Karnataka
197901,93.946,Karnataka
197902,83.91,Karnataka
197903,83.689,Karnataka
197904,78.077,Karnataka
197905,83.19,Karnataka
197906,88.15,Karnataka
197907,96.579,Karnataka
197908,97.246,Karnataka
197909,84.463,Karnataka
197910,86.071,Karnataka
197911,86.09,Karnataka
197912,94.293,Karnataka
197913,1055.704,Karnataka
198001,100.568,Karnataka
198002,94.862,Karnataka
198003,93.21,Karnataka
198004,81.245,Karnataka
198005,82.785,Karnataka
198006,91.484,Karnataka
198007,107.126,Karnataka
198008,106.245,Karnataka
198009,95.662,Karnataka
198010,90.03,Karnataka
198011,91.239,Karnataka
198012,102.138,Karnataka
198013,1136.594,Karnataka
198101,108.164,Karnataka
198102,94.766,Karnataka
198103,95.724,Karnataka
198104,86.386,Karnataka
198105,89.002,Karnataka
198106,99.05,Karnataka
198107,111.044,Karnataka
198108,107.758,Karnataka
198109,95.891,Karnataka
198110,94.541,Karnataka
198111,92.986,Karnataka
198112,105.056,Karnataka
198113,1180.367,Karnataka
198201,113.136,Karnataka
198202,97.313,Karnataka
198203,95.335,Karnataka
198204,86.587,Karnataka
198205,90.83,Karnataka
198206,94.419,Karnataka
198207,109.995,Karnataka
198208,109.179,Karnataka
198209,96.39,Karnataka
198210,92.24,Karnataka
198211,95.165,Karnataka
198212,101.367,Karnataka
198213,1181.956,Karnataka
198301,105.965,Karnataka
198302,90.912,Karnataka
198303,93.568,Karnataka
198304,86.575,Karnataka
198305,90.75,Karnataka
198306,99.98,Karnataka
198307,119.945,Karnataka
198308,126.652,Karnataka
198309,107.675,Karnataka
198310,100.677,Karnataka
198311,101.663,Karnataka
198312,117.417,Karnataka
198313,1241.778,Karnataka
198401,119.436,Karnataka
198402,103.635,Karnataka
198403,108.149,Karnataka
198404,94.329,Karnataka
198405,98.181,Karnataka
198406,112.983,Karnataka
198407,119.701,Karnataka
198408,125.724,Karnataka
198409,107.179,Karnataka
198410,108.583,Karnataka
198411,107.546,Karnataka
198412,112.167,Karnataka
198413,1317.614,Karnataka
198501,125.429,Karnataka
198502,109.359,Karnataka
198503,107.966,Karnataka
198504,100.317,Karnataka
198505,107.595,Karnataka
198506,113.584,Karnataka
198507,126.626,Karnataka
198508,124.309,Karnataka
198509,111.9,Karnataka
198510,108.331,Karnataka
198511,107.034,Karnataka
198512,124.95,Karnataka
198513,1367.401,Karnataka
198601,126.887,Karnataka
198602,109.086,Karnataka
198603,106.803,Karnataka
198604,95.341,Karnataka
198605,101.892,Karnataka
198606,116.698,Karnataka
198607,134.789,Karnataka
198608,122.28,Karnataka
198609,112.03,Karnataka
198610,107.235,Karnataka
198611,107.317,Karnataka
198612,117.127,Karnataka
198613,1357.485,Karnataka
198701,124.043,Karnataka
198702,106.754,Karnataka
198703,108.607,Karnataka
198704,102.222,Karnataka
