date,close,volume,open,high,low
2017-11-24,315.55,3244065.0000,313.79,316.41,311.0
2017-11-27,316.81,4537779.0000,313.25,317.34,309.51
2017-11-28,317.55,4941703.0000,316.36,320.0,313.92
2017-11-29,307.54,8757463.0000,317.3,318.0,301.23
2017-11-30,308.85,4345434.0000,308.56,310.7,304.54
2017-12-01,306.53,4286082.0000,305.44,310.32,305.05
2017-12-04,305.2,5834227.0000,306.5,308.265,300.61
2017-12-05,303.7,4643708.0000,302.0,308.0,301.0
2017-12-06,313.26,7184477.0000,300.1,313.39,300.0
2017-12-07,311.24,4779590.0000,312.0,318.6341,311.05
2017-12-08,315.13,3466088.0000,314.6,316.98,311.26
2017-12-11,328.91,7926090.0000,314.63,329.01,313.75
2017-12-12,341.03,8715570.0000,330.45,341.44,330.03
2017-12-13,339.03,6217701.0000,340.93,344.22,336.5
2017-12-14,337.89,5792024.0000,341.01,347.44,336.9
2017-12-15,343.45,6921246.0000,342.04,343.9,335.76
2017-12-18,338.87,5466546.0000,344.9,346.73,337.58
2017-12-19,331.1,6820868.0000,340.26,341.4925,330.3
2017-12-20,328.98,5907378.0000,332.69,333.1,325.04
2017-12-21,331.66,4369994.0000,329.59,333.74,327.21
2017-12-22,325.2,4207602.0000,329.51,330.9214,324.82
2017-12-26,317.29,4368699.0000,323.83,323.94,316.58
2017-12-27,311.64,4705084.0000,316.0,317.68,310.75
2017-12-28,315.36,4306746.0000,311.75,315.82,309.54
2017-12-29,311.35,3769504.0000,316.18,316.41,310.0
2018-01-02,320.53,4345615.0000,312.0,322.1099,311.0
2018-01-03,317.25,4438520.0000,321.0,325.25,315.55
2018-01-04,314.62,9944593.0000,312.87,318.55,305.68
2018-01-05,316.58,4588728.0000,316.62,317.24,312.0
2018-01-08,336.41,9832610.0000,316.0,337.0199,315.5
2018-01-09,333.69,7134525.0000,335.16,338.8,327.405
2018-01-10,334.8,4303053.0000,332.2,337.0,330.0
2018-01-11,337.95,6640863.0000,335.24,344.8099,333.26
2018-01-12,336.22,4822509.0000,338.63,340.41,333.67
2018-01-16,340.06,6429234.0000,337.54,345.0,334.8
2018-01-17,347.16,7092554.0000,340.47,349.0,339.75
2018-01-18,344.57,5679629.0000,345.67,352.3,343.74
2018-01-19,350.02,4871181.0000,345.0,350.5899,342.6
2018-01-22,351.56,6199777.0000,349.4,357.83,349.2
2018-01-23,352.79,5447622.0000,360.0,360.5,351.0
2018-01-24,345.89,5277386.0000,354.58,354.75,343.52
2018-01-25,337.64,6725208.0000,348.27,349.2,336.4
2018-01-26,342.85,4535457.0000,341.5,344.0,335.71
2018-01-29,349.53,4738208.0000,339.85,350.85,338.28
2018-01-30,345.82,4710684.0000,345.14,348.27,342.17
2018-01-31,354.31,6199373.0000,347.51,356.19,345.19
2018-02-01,349.25,4187440.0000,351.0,359.66,348.63
2018-02-02,343.75,3696157.0000,348.44,351.95,340.51
2018-02-05,333.13,4441166.0000,337.97,344.47,333.0
2018-02-06,333.97,5080032.0000,325.21,336.22,323.5
2018-02-07,345.0,6729682.0000,338.99,346.0,335.66
2018-02-08,315.23,10296420.0000,343.31,348.62,314.6
2018-02-09,310.42,12924430.0000,319.93,320.9845,294.76
2018-02-12,315.73,6224479.0000,316.13,318.08,306.25
2018-02-13,323.66,4554631.0000,315.02,324.19,312.5105
2018-02-14,322.31,3948077.0000,320.84,326.17,318.52
2018-02-15,334.065,5909823.0000,324.5,334.12,322.4
2018-02-16,335.49,5640184.0000,332.5,343.12,331.64
2018-02-20,334.77,4005962.0000,334.47,340.84,331.5
2018-02-21,333.3,3207250.0000,336.03,339.6929,333.17
2018-02-22,346.17,6961880.0000,335.53,347.44,334.7501
2018-02-23,352.05,5814177.0000,347.83,354.99,347.1
2018-02-26,357.42,4334500.0000,353.5,359.0,352.355
2018-02-27,350.99,4785022.0000,356.25,359.99,350.01
2018-02-28,343.06,6066044.0000,352.57,355.24,342.22
2018-03-01,330.93,6872552.0000,345.01,348.67,330.07
2018-03-02,335.12,5088789.0000,326.98,335.22,322.97
2018-03-05,333.35,3820702.0000,332.39,337.75,329.2929
2018-03-06,328.2,4236483.0000,333.75,336.37,327.03
2018-03-07,332.3,5001940.0000,325.44,332.5,321.74
2018-03-08,329.1,3514367.0000,332.86,333.3,326.274
2018-03-09,327.17,5502779.0000,324.1,328.49,322.37
2018-03-12,345.51,8252919.0000,328.61,347.21,326.5
2018-03-13,341.84,5960636.0000,344.92,345.12,336.2635
2018-03-14,326.63,7952152.0000,336.76,339.81,323.93
2018-03-15,325.6,6554568.0000,329.38,332.85,321.1
2018-03-16,321.35,6113365.0000,325.96,327.4,319.07
2018-03-19,313.56,7467890.0000,316.5,320.75,309.67
2018-03-20,310.55,4761031.0000,314.87,316.25,308.76
2018-03-21,316.53,5954247.0000,310.25,322.44,310.19
2018-03-22,309.1,4924928.0000,313.89,318.82,308.18
2018-03-23,301.54,6639960.0000,311.25,311.61,300.45
2018-03-26,304.18,8364937.0000,307.34,307.59,291.36
2018-03-27,279.18,13787060.0000,304.0,304.27,277.18
2018-03-28,257.78,20962280.0000,264.58,268.68,252.1
2018-03-29,266.13,15014440.0000,256.49,270.9599,248.21
