date,close,volume,open,high,low
2016-03-18 00:00:00,232.74,4704761.0000,229.1,234.48,228.06
2016-03-21 00:00:00,238.32,5289014.0000,235.34,239.88,235.0
2016-03-22 00:00:00,234.24,4303052.0000,237.21,238.99,232.558
2016-03-23 00:00:00,222.58,4936203.0000,232.37,234.73,222.03
2016-03-24 00:00:00,227.75,4956604.0000,215.78,228.8877,215.0
2016-03-28 00:00:00,230.26,3878599.0000,231.61,234.81,225.0
2016-03-29 00:00:00,230.13,4006037.0000,229.89,232.38,225.33
2016-03-30 00:00:00,226.89,4025670.0000,235.09,235.5,226.5
2016-03-31 00:00:00,229.77,7975638.0000,229.34,237.42,225.01
2016-04-01 00:00:00,237.59,15979910.0000,244.825,247.9,233.25
2016-04-04 00:00:00,246.99,13381160.0000,249.12,252.12,243.64
2016-04-05 00:00:00,255.47,9931470.0000,240.5,256.56,240.0
2016-04-06 00:00:00,265.42,11695760.0000,253.97,267.74,253.45
2016-04-07 00:00:00,257.2,8845567.0000,266.45,269.34,254.51
2016-04-08 00:00:00,250.07,7352707.0000,260.5,260.82,248.0201
2016-04-11 00:00:00,249.92,9156404.0000,251.0,258.99,245.3
2016-04-12 00:00:00,247.82,5755351.0000,249.5,251.8,243.63
2016-04-13 00:00:00,254.53,4921554.0000,248.51,255.5,247.33
2016-04-14 00:00:00,251.86,4129258.0000,253.0,256.839,251.0501
2016-04-15 00:00:00,254.51,3748593.0000,251.31,254.6,249.12
2016-04-18 00:00:00,253.88,4263246.0000,252.23,258.31,251.66
2016-04-19 00:00:00,247.37,6351360.0000,253.12,254.3699,241.251
2016-04-20 00:00:00,249.97,5192343.0000,246.26,253.66,241.5
2016-04-21 00:00:00,248.29,2777079.0000,248.99,250.9,246.91
2016-04-22 00:00:00,253.75,3783126.0000,248.89,254.0,245.71
2016-04-25 00:00:00,251.82,3665088.0000,253.01,257.38,250.76
2016-04-26 00:00:00,253.74,3217779.0000,252.05,255.73,249.39
2016-04-27 00:00:00,251.47,3198105.0000,252.75,255.0,249.4
2016-04-28 00:00:00,247.71,2515595.0000,249.85,253.43,247.44
2016-04-29 00:00:00,240.76,5405164.0000,248.14,248.43,237.81
2016-05-02 00:00:00,241.8,3838958.0000,241.5,243.19,234.82
2016-05-03 00:00:00,232.32,4296325.0000,237.36,238.91,231.62
2016-05-04 00:00:00,222.56,8550004.0000,230.29,234.46,220.4
2016-05-05 00:00:00,211.53,11248340.0000,228.46,228.64,209.79
2016-05-06 00:00:00,214.93,5683675.0000,210.87,216.37,208.11
2016-05-09 00:00:00,208.92,4772992.0000,215.72,216.15,206.8
2016-05-10 00:00:00,208.69,4068053.0000,207.55,209.47,205.0
2016-05-11 00:00:00,208.96,5159640.0000,207.59,215.48,206.05
2016-05-12 00:00:00,207.28,3650075.0000,211.44,211.67,203.6572
2016-05-13 00:00:00,207.61,2820616.0000,207.78,211.2,206.7
2016-05-16 00:00:00,208.29,2945754.0000,208.15,213.15,207.92
2016-05-17 00:00:00,204.66,2842028.0000,209.05,209.8199,204.02
2016-05-18 00:00:00,211.17,5552692.0000,209.15,215.31,207.75
2016-05-19 00:00:00,215.21,6817922.0000,213.62,216.79,207.3
2016-05-20 00:00:00,220.28,8996546.0000,216.99,220.55,216.35
2016-05-23 00:00:00,216.22,5096751.0000,219.87,222.6,215.86
2016-05-24 00:00:00,217.91,3009327.0000,216.6,218.74,215.18
2016-05-25 00:00:00,219.58,3131279.0000,217.91,221.36,216.51
2016-05-26 00:00:00,225.12,4066512.0000,220.5,225.26,219.05
2016-05-27 00:00:00,223.04,3645792.0000,224.99,225.93,220.75
2016-05-31 00:00:00,223.23,2786682.0000,223.04,224.7497,221.5001
